"Trending Date",Country,"Category ID","Comment Count",Title,Likes,"Channel ID",Dislikes,"Publish Date","Video ID",Views
2018-05-16,US,22,7726,"â€œInfinity Warâ€ Cast Reacts To Fan Tweets",183037,3175,3071,2018-05-01,ZUSPD9zOyJs,5848583
2018-05-17,US,22,7855,"â€œInfinity Warâ€ Cast Reacts To Fan Tweets",185130,3175,3101,2018-05-01,ZUSPD9zOyJs,5942024
2018-05-18,US,22,7924,"â€œInfinity Warâ€ Cast Reacts To Fan Tweets",186478,3175,3118,2018-05-01,ZUSPD9zOyJs,6008489
2018-05-19,US,22,8022,"â€œInfinity Warâ€ Cast Reacts To Fan Tweets",188056,3175,3140,2018-05-01,ZUSPD9zOyJs,6081291
2018-05-20,US,22,8078,"â€œInfinity Warâ€ Cast Reacts To Fan Tweets",189440,3175,3174,2018-05-01,ZUSPD9zOyJs,6157587
2018-04-05,Denmark,24,553,"Vending Machine Tacos Taste Test",10236,6496,141,2018-04-04,ZUs4JxQJAv0,509779
2018-04-06,Canada,24,670,"Vending Machine Tacos Taste Test",11787,6496,195,2018-04-04,ZUs4JxQJAv0,636206
2018-05-02,Canada,24,1824,"Dans les passages secrets du Mont-Saint-Michel !",18387,9840,83,2018-05-01,ZUmof5JNCVI,155970
2018-05-07,Canada,23,1163,"F*ck le franÃ§ais! - Tabou #13",15374,14391,88,2018-05-06,ZuiutGVyN_k,87675
2018-04-29,Canada,22,350,"MEGA FISH TRAP Catches Rare Colorful Fish",2703,12322,687,2018-04-25,zuGhEnkK3W4,330684
2018-04-30,Canada,22,477,"MEGA FISH TRAP Catches Rare Colorful Fish",4166,12322,1133,2018-04-25,zuGhEnkK3W4,568972
2018-05-15,Canada,22,533,"Q Anon May 14 - All for a LARP?",2289,12017,43,2018-05-14,zuFbluehZas,34990
2018-05-06,Denmark,24,0,"Magazin In - 05.05.2018. - Cela Emisija",295,12712,58,2018-05-05,zu9qSzGLU_Q,35869
2018-04-21,Denmark,24,479,"Nur 2% aller Menschen schaffen diese 5 RÃ¤tsel..",5802,7784,215,2018-04-20,Zu8_7P0DJg0,25652
2018-04-22,Denmark,24,854,"Nur 2% aller Menschen schaffen diese 5 RÃ¤tsel..",11039,7784,1001,2018-04-20,Zu8_7P0DJg0,114885
2018-04-23,Denmark,24,983,"Nur 2% aller Menschen schaffen diese 5 RÃ¤tsel..",12186,7784,1238,2018-04-20,Zu8_7P0DJg0,138617
2018-04-20,Denmark,24,201,"Freundschaft auf YouTube",2386,6827,843,2018-04-19,ZTvWnLhUdD0,52532
2018-04-27,Canada,24,950,"Ghar Titli Ka Par - Episode 15 | HAR PAL GEO",3778,6709,293,2018-04-26,ZTQi1Wxz-sU,445775
2018-04-02,Denmark,24,957,"Rechtes vs. linkes Twix",4582,5751,922,2018-04-01,ZTPzw_-XqgY,67072
2018-04-03,Denmark,24,1267,"Rechtes vs. linkes Twix",6961,5751,1521,2018-04-01,ZTPzw_-XqgY,111367
2018-05-16,Canada,26,1382,"May Boxycharm Unboxing (Try-on Style) | 2018",16901,8398,200,2018-05-15,zTJsOjFbkuY,267299
2018-04-21,Canada,23,2106,"Casually Explained: YouTube",43587,3411,328,2018-04-20,ZTFTngOG2bg,568499
2018-04-22,Canada,23,2772,"Casually Explained: YouTube",63634,3411,579,2018-04-20,ZTFTngOG2bg,1023770
2018-04-23,Canada,23,2905,"Casually Explained: YouTube",67397,3411,606,2018-04-20,ZTFTngOG2bg,1100290
2018-05-16,India,26,1375,"Normal Girl vs Periods Girl | Shruti Arjun Anand",9017,13209,486,2018-05-15,Ztel4Tuq_Gc,106274
2018-05-17,India,26,1603,"Normal Girl vs Periods Girl | Shruti Arjun Anand",13001,13209,1034,2018-05-15,Ztel4Tuq_Gc,243830
2018-05-18,India,26,1730,"Normal Girl vs Periods Girl | Shruti Arjun Anand",15897,13209,1529,2018-05-15,Ztel4Tuq_Gc,372092
2018-05-19,India,26,1859,"Normal Girl vs Periods Girl | Shruti Arjun Anand",18513,13209,1874,2018-05-15,Ztel4Tuq_Gc,501815
2018-05-20,India,26,1942,"Normal Girl vs Periods Girl | Shruti Arjun Anand",21094,13209,2186,2018-05-15,Ztel4Tuq_Gc,632140
2018-04-24,Denmark,22,0,"NÃ¤chste Woche bei KÃ¶ln 50667 (23.-27.4.18)",16,13830,5,2018-04-20,zTB-wzW54uE,5430
2018-04-25,Denmark,22,1,"NÃ¤chste Woche bei KÃ¶ln 50667 (23.-27.4.18)",36,13830,6,2018-04-20,zTB-wzW54uE,16865
2018-05-25,Canada,22,394,"Joe Rogan - GSP on Steroids & Johny Hendricks",1026,8144,32,2018-05-24,Zt8aq-TOk8I,79868
2018-04-04,US,23,5886,"Welcome to Iowa",47524,4825,2308,2018-04-02,ZT0CCaKDxjg,1089884
2018-04-05,US,23,9468,"Welcome to Iowa",80476,4825,4440,2018-04-02,ZT0CCaKDxjg,2047466
2018-04-06,US,23,10426,"Welcome to Iowa",91224,4825,4979,2018-04-02,ZT0CCaKDxjg,2380984
2018-04-07,US,23,10882,"Welcome to Iowa",95855,4825,5251,2018-04-02,ZT0CCaKDxjg,2574365
2018-04-14,US,23,11726,"Welcome to Iowa",103672,4825,5776,2018-04-02,ZT0CCaKDxjg,2986735
2018-04-15,US,23,11728,"Welcome to Iowa",103739,4825,5787,2018-04-02,ZT0CCaKDxjg,2995531
2018-04-16,US,23,11730,"Welcome to Iowa",103796,4825,5795,2018-04-02,ZT0CCaKDxjg,3000909
2018-04-17,US,23,11658,"Welcome to Iowa",103819,4825,5799,2018-04-02,ZT0CCaKDxjg,3018517
2018-04-18,US,23,11661,"Welcome to Iowa",103862,4825,5800,2018-04-02,ZT0CCaKDxjg,3023829
2018-04-19,US,23,11630,"Welcome to Iowa",103879,4825,5803,2018-04-02,ZT0CCaKDxjg,3027205
2018-04-20,US,23,11633,"Welcome to Iowa",103894,4825,5805,2018-04-02,ZT0CCaKDxjg,3029851
2018-04-21,US,23,11628,"Welcome to Iowa",103899,4825,5805,2018-04-02,ZT0CCaKDxjg,3032542
2018-05-06,Denmark,24,1176,"PUNTA CANA 2018 â™¡ Team Harrison",18275,12911,123,2018-05-05,ZsptW6Yllyc,150405
